athlete.sex,average_speed,distance,type
F,3.022,21580.0,Ride
M,4.062,19092.8,Ride
M,5.397,23023.4,Ride
F,6.314,101702.0,Ride
F,1.629,2739.8,Hike
M,5.867999999999999,13056.7,Ride
M,4.675,24438.8,Ride
F,8.173,9447.6,Run
F,0.0,0.0,Ride
F,3.22,4814.0,Run
M,6.685,33632.8,Ride
F,3.0839999999999996,15818.6,Ride
F,2.573,16014.5,Run
F,2.376,3157.1,Run
M,5.8660000000000005,10628.8,Ride
M,7.797000000000001,62910.9,Ride
M,3.745,5000.0,Run
M,6.124,28765.1,Ride
M,9.249,69559.8,Ride
M,8.941,32186.9,Ride
M,2.9730000000000003,41926.3,Run
F,6.75,43609.3,Ride
F,4.481,25781.1,Ride
F,3.0839999999999996,8371.3,Run
M,7.18,48415.5,Ride
M,2.8810000000000002,6042.5,Run
M,7.531000000000001,34499.3,Ride
M,7.331,63273.8,Ride
M,4.953,54424.2,Ride
F,2.932,6063.5,Run
M,3.675,782.7,Ride
M,5.832000000000001,24402.2,Ride
M,3.409,40447.3,Ride
F,2.6639999999999997,9980.4,Run
M,7.502999999999999,40770.9,Ride
F,2.634,7000.6,Run
F,5.188,13754.3,Ride
F,0.713,3369.6,Snowshoe
F,2.667,15059.3,Run
F,1.401,3981.6,Walk
M,6.1739999999999995,13971.0,Ride
M,6.582000000000001,116055.0,Ride
F,2.748,4748.6,Run
F,4.787,11235.5,Ride
F,2.497,4987.2,Run
M,2.3609999999999998,14343.4,Run
F,2.747,8055.0,Run
F,2.416,10697.6,Run
M,2.593,7000.0,Run
M,2.76,11390.8,Run
M,3.57,30824.0,Ride
F,2.7239999999999998,3506.1,Run
M,2.7680000000000002,15183.8,Run
M,7.867000000000001,118659.0,Ride
F,2.6439999999999997,10585.0,Run
F,0.0,0.0,Workout
M,3.2960000000000003,16009.5,Run
F,6.01,7717.1,Ride
M,7.47,39429.0,Ride
M,5.672000000000001,48252.3,Ride
F,3.279,4812.9,Run
M,7.4639999999999995,18160.0,Ride
M,8.326,55000.0,Ride
M,6.098,96676.3,Ride
M,8.113999999999999,30637.1,Ride
F,6.33,9615.6,Ride
M,0.0,0.0,Swim
F,2.358,12984.2,Run
M,5.678,74454.8,Ride
M,4.765,13126.2,Ride
M,4.735,4062.4,Ride
M,8.357999999999999,49556.6,Ride
M,5.7139999999999995,36366.9,Ride
F,2.29,7015.4,Ride
F,6.347,49422.0,Ride
M,5.689,7680.1,Ride
F,5.207000000000001,9934.2,Ride
M,5.178999999999999,15002.3,Run
M,6.944,31972.0,Ride
M,8.01,30045.5,Ride
F,2.863,3661.4,Run
M,0.0,0.0,Ride
F,6.515,17159.5,Ride
F,3.1510000000000002,5467.5,Run
M,8.042,11130.4,Ride
F,2.339,9265.8,Run
M,6.2589999999999995,65342.2,Ride
F,6.699,59125.2,Ride
F,5.904,8206.7,Ride
F,1.193,4661.9,Run
M,6.102,12143.1,Ride
F,2.6,16108.8,Run
M,2.032,6131.4,Run
M,7.178,46609.8,Ride
M,11.173,13720.3,Ride
M,1.075,7214.0,Walk
M,6.638,25969.4,Ride
M,3.0380000000000003,7976.9,Run
F,7.069,41671.8,Ride
M,6.144,22894.0,Ride
M,4.1739999999999995,7513.6,Run
F,2.523,5002.5,Run
M,0.961,170053.0,Run
F,9.024,96724.4,Ride
F,4.824,44429.6,Ride
F,3.117,3385.1,Run
F,7.847,61213.9,Ride
F,3.498,5359.5,Run
F,2.6260000000000003,6916.8,Run
M,2.7510000000000003,9063.9,Run
M,8.668,18653.9,Ride
M,4.721,32104.2,Ride
F,3.639,7933.3,Run
F,5.669,20914.1,Ride
M,3.303,27844.6,Ride
